order,book,description,title
"0015","Nehemiah","The Old Testament books of Ezra and Nehemiah go together.  They tell the story of Israel's return to the Land of Promise from the exile in Babylon.
These books represent two periods in Israel's restoration to the land at the end of the exile: first, the rebuilding of the temple and the re-establishment of Israel's spiritual life (538-516 B.C./Ezra 1-10); then the rebuilding of the wall around Jerusalem (458-420 B.C./Nehemiah 1-13).  Ezra, the priest, returned first (see the book of Ezra), followed later by Nehemiah, a high ranking official in the service of Artaxerxes, King of Babylon.
Nehemiah is an exciting book that tells of the faithfulness of ""Yahweh"" (The LORD), the Elohim (God) of Israel.  It also records the obedience of a layman, Nehemiah, in the service of the purposes of God.  Without question, God is sovereign over Israel and the nations of this world.  
Listen Now!
","Nehemiah"
"0021","Esther","The book of Esther is unique in the Old Testament in that it does not once mention the names of God (Yahweh or Elohim).  And yet it is highly esteemed among the Jewish people.
The events of the book transpire during the reign of King Xerxes of Persia (present day Iran).  The issue was the survival of the Jewish people in Persia.  The providence of God is overall evident as a Jewish young woman, Esther, finds herself in a position to save the Jews of Persia from genocide.
Listen now!
","Esther"
"0023","Psalms","The writers of the psalms express a wide range of feelings and experiences, from depression to joy. These experiences are based on particular circumstances in the days of the Psalmist, yet they are applicable to our daily lives today in the 21st century. The modern age is not unique--we feel the same emotions and are often confounded by the same kinds of issues and problems in life.  Whether we cry out in need, or extend worship, it is to the same God today as in the days of the Psalmist.  
The Psalms are a collection of Old Testament hymns grouped according to common themes, common purpose, or a common author. It is difficult for scholars to precisely date individual psalms, or to discover just how and when they were collected and compiled.  We do know that Moses wrote one.  Probably David is the most popular writer of the Psalms.  The process continued into the days after the Hebrew exile. According to early manuscripts of the Psalms found at Qumran in Israel, it is believed that the whole collection of Psalms as we have them today must have been finalized sometime before the Maccabean period around the second century before Christ.
The late C.S. Lewis, noted author and scholar, commented on the Psalms as follows: ""The Psalms are poems, and poems intended to be sung: not doctrinal treatises, nor even sermons ...They must be read as poems if they are to be understood ...otherwise we shall miss what is in them and think we see what is not.""
Of the 150 Psalms written, Pastor Art teaches from 30 and delivers pertinent and heartfelt messages that make it not only easy to identify with the Psalmists of old, but also to apply the principles of these scriptural hymns to living in the modern age.","The Psalms"
"0024","Isaiah","The book of Isaiah has been called by some ""The Fifth Gospel"" because it has so much to say about the Messiah.  The New Testament identifies Jesus as the Messiah that Isaiah foretold.
The book, written most likely by one author, seems to divide into two parts:  chapters 1-39 (the failure of humankind) and chapters 40-66 (the hope of the Messiah).  Of all the books of the Old Testament, Isaiah is the most quoted in the New Testament.
In the eighth century B.C. Elijah and Elisha were the most prominent non-writing prophets.  Isaiah, a writing prophet, began the eight century B.C. followed by many others.  There are five Major Prophets (those who wrote longer books) and 12 Minor Prophets (those who wrote shorter books).  All the prophets are important regardless of the length of their books.  They wrote mainly to the divided kingdom, Israel in the north and Judah in the south, prior to their going into captivity (Israel to Assyria in 722 B.C and Judah to Babylon in 586 B.C.)  Some of the later prophets wrote to the Jews returning to Jerusalem after the captivity.
The lessons below cover a portion of Isaiah's message. 
Listen Now!","Isaiah"
"0025","Ezekiel","The writer of this book is Ezekiel, the prophet-priest of the Babylonian exile.  He was exiled along with 10,000 Jews from Judea to Babylon by King Nebuchadnezzar in 597 B.C.  In 586 B.C. there was a final siege on Jerusalem by the Babylonians, at which time the city and the Temple were burned.
Ezekiel wrote this prophesy from Babylonia, preceding the destruction of Jerusalem by 7 years and following it by 15 years.  These 22 years of his prophetic activity exceeded a priest's normal service by two years.  (Priests served from age 30 to age 50, after which they entered semi-retirement and assisted others in ministry.)
The book of Ezekiel can be outlined in the following way:
Jerusalem and the Temple will fall - Chapters.1 to 24  
Seven surrounding nations will be judged - Chapters. 25 to 32   
A word of hope given for God's people -  Chapters. 33 to 48  
The prophecy of Ezekiel proclaims God's sovereignty over creation, people, nations and the course of history. 
Listen Now!","Ezekiel"
"0026","Daniel","Daniel was a prophet of the late Babylonian exile period.  The book is of the apocalyptic genre' in the same class as Ezekiel, Zechariah and Revelation.  The period is during that of the successive world powers of Babylonia, the Medes and the Persians and Persia. The inspired author of the book is not known.  However, it may well have been the prophet, Daniel, himself.  
Half of the book, chapters 1-6, is about the Israelite and government official, Daniel, and his friends.  It shows them faithfully serving the one true God-Yahweh, the God (Elohim) of Israel.  They were faithful to God at the risk of their lives.
The second half of the book, chapters 7-12, gives us the dreams/visions of the Prophet Daniel.  These dreams/visions range from easy to understand to very difficult, if not impossible, to understand.  One thing is clear.  God Almighty is in ultimate control of human history from the time of Daniel to the end times and the final establishment of the Kingdom of God.    
Listen Now!","Daniel"
"0027","Hosea","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!","Hosea"
"0028","Joel","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!
","Joel"
"0029","Amos","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!","Amos"
"0030","Obadiah","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!","Obadiah"
"0031","Jonah","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!","Jonah"
"0032","Micah","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!","Micah"
"0032","Nahum","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.","Nahum"
"0033","Habakkuk","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!
","Habakkuk"
"0034","Zephaniah","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!
","Zephaniah"
"0035","Haggai","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!
","Haggai"
"0036","Zechariah","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!","Zechariah"
"0037","Malachi","There are 12 Minor Prophets in the Old Testament: Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah and Malachi.  The five Major Prophets are Isaiah, Jeremiah, Lamentations, Ezekiel and Daniel.  The ""major"" and ""minor"" designations have nothing to do with the importance of the prophecy.  All the prophets, major and minor, are important.  These designations have to do with the length of the prophecy or book.  The Major Prophets are longer and the Minor Prophets are shorter in length.
Of these 12 Minor Prophets, the first nine are pre-exilic (preceding the Assyrian exile in 722 B.C. and/or Babylonian exile in 586 B.C.) and three are post-exilic (during the time of the Jewish return from Babylon to Jerusalem).
Rarely will you ever hear a sermon series on the Minor Prophets or even a Sunday School course of lessons.  This is a shame as the Minor Prophets have much to tell us about humankind and especially about God Almighty.  Here, gathered in 12 lessons, one on each Minor Prophet, you will learn the thrust of each book.  May it motivate you to read and study the Minor Prophets in greater detail.  You will greatly benefit, if you will do so.    
Listen Now!","Malachi"
"0090","Matthew","The Gospel of Matthew is the life story of Jesus - his birth, teachings, miracles, death and resurrection.
The book of Matthew was written by the disciple, Matthew, according to early church writers. It may have been the first gospel to appear.  It was most likely written some time between A.D.50 and A.D.70.
It shares many verses with both Mark and Luke and therefore is called a ""synoptic"" (like) gospel.  There was possible a ""Q"" document that all the gospel writers drew from with the exception of John.  Or, it is possible that the other synoptics drew from Matthew, or they all drew from Mark, if indeed Mark was the first gospel.  We know that Luke wrote his gospel later than Matthew and Mark.  John was the last gospel written.  
Matthew was written primarily for Jews and therefore stresses Old Testament Scripture and the theme of Jesus Christ, the Messiah.  Matthew uses ""Kingdom of Heaven"" instead of ""Kingdom of God"", which respected the Jewish hesitation to use the holy name of God.  
There are five major discourses of Jesus given in this gospel: Sermon on the Mount (Chapters 5-7); Sending of the Twelve (Chapter 10); The Parables (Chapter 13); Principles of the Kingdom (Chapter 18); and Prophecy (Chapters 24-25).","The Gospel of Matthew"
"0100","Mark","The Gospel of Mark is an action packed narrative of Jesus' activities while on planet Earth.  The gospel recounts the places Jesus visited, his teachings, his time with his disciples, and the miracles he performed out among the people.  Perhaps the first and the shortest of the four gospels, the author tells the good news of Jesus in 16 chapters recounting events chronologically as they occurred.  Starting with the baptism of Jesus and leading to the defining moments in His life such as the crucifixion and His resurrection the story is told.  
Biblical scholars and historians maintain that the Gospel of Mark was written by John Mark, an understudy of the Apostle Peter, in approximately AD 65-70--perhaps the first gospel to be written.  It is noted that the author pays careful attention to explain Jewish customs, which many believe indicates that the primary audience for this gospel may well have been non-Jewish readers such as the Romans.  
The Gospel of Mark depicts Jesus in action.  The word ""immediately"" appears often in the text.  Although the book is a fast-paced look at Jesus' life, Pastor Art takes time to focus in on critical passages that bring out nuggets of biblical truth for believers to apply to their lives today.  The twenty-five lessons expose present day believers to Jesus' approach to key issues of His times and take-away principles that can be applied to life today.","The Gospel of Mark"
"0150","Luke","The Gospel of Luke was written by Luke, the beloved physician (Colossians 4:14).  He was not one of the original 12 disciples of Jesus, but nevertheless came upon the Christian scene quite early.  He was also apparently not a Jew by ethnicity, but rather a gentile.  In fact he is the only non-Jew to write a book of the New Testament.  Furthermore, Luke is the only gospel writer to produce a sequence to his gospel, namely the Acts of the Apostles. 
Luke wrote the gospel bearing his name taking a scientific approach.  This was quite natural for him as a trained physician.  Not being an eyewitness to the things whereof he wrote, he interviewed reliable people.  He ""investigated everything carefully"" and produced ""an orderly account"" of the life and teachings of Jesus Christ.  It was different with the book of Acts.  Luke became a co-worker with the Apostle Paul during his second and third missionary journeys and thus an eyewitness to the expansion of the early church as evidenced by the ""we sections&#148 (beginning with Acts 16:10 ff). 
The book of Luke itself is divided in the following way by Leon Morris in his Tyndale NT Commentary:
Preface                                             1:1-4
Infancy narratives                              1:5-22
Ministry of John the Baptist              3:1-20
Beginning of Jesus' ministry            3:21-4:13
Jesus in Galilee                                 4:14-9:50
From Galilee to Jerusalem              9:51-19:44
Jesus in Jerusalem                           9:45-21:38
Crucifixion                                          22:1-23:56
Resurrection                                      24:1-53
Luke, along with Matthew and Mark are called synoptic gospels, meaning ""same gospels"".  That means, many of the verses are exactly the same in all three books.  This suggests a common source (""Q"" for the German word Quella meaning ""source"").  Of course, there are many differences as well in what is or is not included.  A clear feature of Luke is his emphasis on the Holy Spirit.  One senses as one reads this gospel that there is a deep spirituality. ","The Gospel of Luke"
"0200","John","The Gospel of John is a record primarily of what Jesus said, especially claims He made about himself.  The style of the writer is different than Mathew's Gospel which records Jesus' sayings.  The author of John, who refers to himself simply as &#145;the disciple whom Jesus loved&#146; (21 :20, 24), assumes that the readers already know the facts about Jesus' life. He writes to bring out the meaning of the events that take place by focusing on the miracles (seven &#145;signs&#146;) which show most clearly who He was--the God-Man. The main aim of the author is to bring the reader to a personal faith in Jesus as Savior and Lord (20:30-31).
Unlike Mathew, there are no parables in John. Most of the events recorded take place in and around Jerusalem at the various festivals where Jesus utilized a teaching method that was appropriate for the business, political and theological climate of the region.
The Gospel of John was the last of the four gospels to be written. Scholars believe it was probably written around AD 90. The early church taught that the aged Apostle John wrote or dictated this &#145;spiritual&#146; Gospel from Ephesus located in present-day Turkey.
Pastor Art teaches from each of the 21 chapters of the Gospel of John and explains in modern-day terms the timeless focus of John's Gospel--namely, Jesus is the promised Messiah and the Son of God.","The Gospel of John"
